70150 0605202046TRUE TRUE FALSETRUE FALSEFALSE
13600 0208202030TRUE FALSETRUE FALSEFALSEFALSE
77900 0124202048TRUE TRUE FALSETRUE FALSEFALSE
11150 0124202035TRUE TRUE TRUE FALSEFALSEFALSE
7234340111202032TRUE TRUE FALSETRUE FALSEFALSE
4214700313202045TRUE FALSETRUE TRUE FALSEFALSE
77910 0325202043TRUE TRUE FALSETRUE FALSEFALSE
11150 0121202037TRUE TRUE TRUE FALSEFALSEFALSE
12380 0527202038TRUE TRUE TRUE FALSEFALSEFALSE
6475300310202083TRUE FALSETRUE FALSEFALSEFALSE
71160 0308202050TRUE FALSETRUE FALSEFALSEFALSE
9159000530202051TRUE TRUE FALSETRUE FALSEFALSE
71160 0128202046TRUE FALSETRUE FALSEFALSEFALSE
1004650312202045TRUE TRUE TRUE FALSEFALSEFALSE
9136700507202083TRUE FALSETRUE TRUE FALSEFALSE
2460600603202058TRUE FALSETRUE FALSEFALSEFALSE
3780100423202034TRUE TRUE FALSETRUE FALSEFALSE
4810300603202083TRUE FALSETRUE TRUE FALSEFALSE
8905800411202031TRUE TRUE TRUE FALSEFALSEFALSE
2291200405202032TRUE TRUE TRUE FALSEFALSEFALSE
4322500602202079TRUE FALSETRUE TRUE FALSEFALSE
6178100710202083TRUE FALSETRUE TRUE FALSEFALSE
6470900621202074TRUE FALSETRUE TRUE FALSEFALSE
4214700314202038TRUE TRUE TRUE TRUE FALSEFALSE
4214700301202048TRUE FALSETRUE FALSEFALSEFALSE
4208300201202037TRUE TRUE FALSETRUE FALSEFALSE
4800400618202079TRUE FALSETRUE TRUE FALSEFALSE
6368000228202072TRUE FALSETRUE TRUE FALSEFALSE
4248300605202077TRUE FALSETRUE TRUE FALSEFALSE
4800400427202072TRUE FALSETRUE TRUE FALSEFALSE
4211400321202055TRUE FALSETRUE TRUE FALSEFALSE
4322500605202079TRUE FALSETRUE TRUE FALSEFALSE
4208300313202046TRUE TRUE FALSETRUE FALSEFALSE
2241300423202028TRUE FALSETRUE FALSEFALSEFALSE
3779200716202063TRUE FALSETRUE TRUE FALSEFALSE
4211400418202058TRUE FALSETRUE TRUE FALSEFALSE
6546500602202081TRUE FALSETRUE FALSEFALSEFALSE
2291200414202036TRUE FALSETRUE FALSEFALSEFALSE
3032800528202042TRUE FALSETRUE FALSEFALSEFALSE
1346150227202037TRUE TRUE FALSETRUE FALSEFALSE
4808000728202084TRUE FALSETRUE TRUE FALSEFALSE
9693700228202081TRUE FALSETRUE TRUE FALSEFALSE
1704600620202058TRUE FALSETRUE FALSEFALSEFALSE
