{'time': '13:18', 'ce_supp': -67.35, 'pe_supp': 206.32}
{'time': '13:19', 'ce_supp': -67.08, 'pe_supp': 203.8}
{'time': '13:20', 'ce_supp': -67.08, 'pe_supp': 203.8}
{'time': '13:21', 'ce_supp': -66.76, 'pe_supp': 200.88}
{'time': '13:22', 'ce_supp': -66.76, 'pe_supp': 200.88}
{'time': '13:23', 'ce_supp': -65.98, 'pe_supp': 193.9}
{'time': '13:24', 'ce_supp': -65.98, 'pe_supp': 193.9}
{'time': '13:25', 'ce_supp': -65.7, 'pe_supp': 191.51}
{'time': '13:26', 'ce_supp': -65.7, 'pe_supp': 191.51}
{'time': '13:27', 'ce_supp': -64.8, 'pe_supp': 184.08}
{'time': '13:28', 'ce_supp': -64.8, 'pe_supp': 184.08}
{'time': '13:29', 'ce_supp': -64.8, 'pe_supp': 184.08}
{'time': '13:30', 'ce_supp': -64.8, 'pe_supp': 184.08}
{'time': '13:31', 'ce_supp': -64.13, 'pe_supp': 178.79}
{'time': '13:32', 'ce_supp': -64.13, 'pe_supp': 178.79}
{'time': '13:33', 'ce_supp': -64.14, 'pe_supp': 178.87}
{'time': '13:34', 'ce_supp': -64.14, 'pe_supp': 178.87}
{'time': '13:35', 'ce_supp': -63.31, 'pe_supp': 172.54}
{'time': '13:36', 'ce_supp': -63.42, 'pe_supp': 173.41}
{'time': '13:37', 'ce_supp': -63.42, 'pe_supp': 173.41}
{'time': '13:38', 'ce_supp': -63.42, 'pe_supp': 173.41}
{'time': '13:39', 'ce_supp': -62.99, 'pe_supp': 170.18}
{'time': '13:40', 'ce_supp': -62.99, 'pe_supp': 170.18}
{'time': '13:41', 'ce_supp': -66.67, 'pe_supp': 200.02}
{'time': '13:42', 'ce_supp': -67.75, 'pe_supp': 210.06}
{'time': '13:43', 'ce_supp': -67.75, 'pe_supp': 210.06}
{'time': '13:44', 'ce_supp': -67.75, 'pe_supp': 210.06}
{'time': '13:45', 'ce_supp': -68.02, 'pe_supp': 212.65}
{'time': '13:46', 'ce_supp': -67.91, 'pe_supp': 211.63}
{'time': '13:47', 'ce_supp': -67.91, 'pe_supp': 211.63}
{'time': '13:48', 'ce_supp': -68.26, 'pe_supp': 215.06}
{'time': '13:49', 'ce_supp': -68.26, 'pe_supp': 215.06}
{'time': '13:50', 'ce_supp': -68.29, 'pe_supp': 215.38}
{'time': '13:51', 'ce_supp': -68.29, 'pe_supp': 215.38}
{'time': '13:52', 'ce_supp': -68.29, 'pe_supp': 215.38}
{'time': '13:53', 'ce_supp': -69.29, 'pe_supp': 225.58}
{'time': '13:55', 'ce_supp': -69.83, 'pe_supp': 231.48}
{'time': '13:56', 'ce_supp': -71.62, 'pe_supp': 252.39}
{'time': '13:57', 'ce_supp': -72.2, 'pe_supp': 259.69}
{'time': '13:58', 'ce_supp': -72.2, 'pe_supp': 259.69}
{'time': '13:59', 'ce_supp': -72.2, 'pe_supp': 259.69}
{'time': '14:00', 'ce_supp': -72.45, 'pe_supp': 263.0}
{'time': '14:01', 'ce_supp': -72.45, 'pe_supp': 263.0}
{'time': '14:02', 'ce_supp': -72.35, 'pe_supp': 261.72}
{'time': '14:03', 'ce_supp': -72.46, 'pe_supp': 263.11}
{'time': '14:04', 'ce_supp': -72.54, 'pe_supp': 264.21}
{'time': '14:05', 'ce_supp': -72.54, 'pe_supp': 264.21}
{'time': '14:06', 'ce_supp': -72.54, 'pe_supp': 264.21}
{'time': '14:07', 'ce_supp': -72.48, 'pe_supp': 263.31}
{'time': '14:08', 'ce_supp': -72.48, 'pe_supp': 263.31}
{'time': '14:09', 'ce_supp': -72.59, 'pe_supp': 264.86}
{'time': '14:10', 'ce_supp': -72.7, 'pe_supp': 266.26}
{'time': '14:11', 'ce_supp': -72.7, 'pe_supp': 266.26}
{'time': '14:13', 'ce_supp': -73.13, 'pe_supp': 272.1}
{'time': '14:14', 'ce_supp': -73.1, 'pe_supp': 271.71}
{'time': '14:15', 'ce_supp': -73.1, 'pe_supp': 271.71}
{'time': '14:16', 'ce_supp': -73.31, 'pe_supp': 274.66}
{'time': '14:17', 'ce_supp': -73.07, 'pe_supp': 271.38}
{'time': '14:18', 'ce_supp': -73.58, 'pe_supp': 278.56}
{'time': '14:19', 'ce_supp': -73.58, 'pe_supp': 278.56}
{'time': '14:20', 'ce_supp': -73.58, 'pe_supp': 278.56}
{'time': '14:21', 'ce_supp': -73.5, 'pe_supp': 277.34}
{'time': '14:22', 'ce_supp': -73.5, 'pe_supp': 277.34}
{'time': '14:24', 'ce_supp': -73.93, 'pe_supp': 283.64}
{'time': '14:25', 'ce_supp': -74.94, 'pe_supp': 299.1}
{'time': '14:26', 'ce_supp': -74.94, 'pe_supp': 299.1}
{'time': '14:27', 'ce_supp': -74.94, 'pe_supp': 299.1}
{'time': '14:28', 'ce_supp': -74.94, 'pe_supp': 299.1}
{'time': '14:29', 'ce_supp': -75.37, 'pe_supp': 305.97}
{'time': '14:30', 'ce_supp': -75.37, 'pe_supp': 305.97}
{'time': '14:31', 'ce_supp': -75.8, 'pe_supp': 313.3}
{'time': '14:32', 'ce_supp': -75.8, 'pe_supp': 313.3}
{'time': '14:33', 'ce_supp': -75.8, 'pe_supp': 313.3}
{'time': '14:35', 'ce_supp': -76.01, 'pe_supp': 316.89}
{'time': '14:36', 'ce_supp': -76.01, 'pe_supp': 316.89}
{'time': '14:37', 'ce_supp': -75.87, 'pe_supp': 314.44}
{'time': '14:38', 'ce_supp': -75.87, 'pe_supp': 314.44}
{'time': '14:39', 'ce_supp': -75.87, 'pe_supp': 314.44}
{'time': '14:40', 'ce_supp': -75.87, 'pe_supp': 314.44}
{'time': '14:41', 'ce_supp': -75.94, 'pe_supp': 315.6}
{'time': '14:42', 'ce_supp': -75.99, 'pe_supp': 316.56}
{'time': '14:43', 'ce_supp': -76.1, 'pe_supp': 318.48}
{'time': '14:44', 'ce_supp': -76.1, 'pe_supp': 318.48}
{'time': '14:45', 'ce_supp': -76.1, 'pe_supp': 318.48}
{'time': '14:47', 'ce_supp': -76.31, 'pe_supp': 322.21}
{'time': '14:48', 'ce_supp': -76.31, 'pe_supp': 322.21}
{'time': '14:49', 'ce_supp': -76.11, 'pe_supp': 318.51}
{'time': '14:50', 'ce_supp': -76.11, 'pe_supp': 318.51}
{'time': '14:51', 'ce_supp': -75.98, 'pe_supp': 316.24}
{'time': '14:52', 'ce_supp': -76.11, 'pe_supp': 318.51}
{'time': '14:53', 'ce_supp': -75.98, 'pe_supp': 316.24}
{'time': '14:54', 'ce_supp': -75.98, 'pe_supp': 316.24}
{'time': '14:55', 'ce_supp': -75.46, 'pe_supp': 307.52}
{'time': '14:57', 'ce_supp': -75.46, 'pe_supp': 307.52}
{'time': '14:58', 'ce_supp': -75.46, 'pe_supp': 307.52}
{'time': '14:59', 'ce_supp': -75.74, 'pe_supp': 312.12}
{'time': '15:00', 'ce_supp': -76.01, 'pe_supp': 316.78}
{'time': '15:01', 'ce_supp': -76.11, 'pe_supp': 318.65}
{'time': '15:02', 'ce_supp': -76.11, 'pe_supp': 318.65}
{'time': '15:03', 'ce_supp': -76.11, 'pe_supp': 318.65}
{'time': '15:04', 'ce_supp': -76.11, 'pe_supp': 318.65}
{'time': '15:05', 'ce_supp': -76.18, 'pe_supp': 319.79}
{'time': '15:06', 'ce_supp': -76.33, 'pe_supp': 322.56}
{'time': '15:07', 'ce_supp': -76.33, 'pe_supp': 322.56}
{'time': '15:09', 'ce_supp': -76.33, 'pe_supp': 322.56}
{'time': '15:10', 'ce_supp': -76.33, 'pe_supp': 322.56}
{'time': '15:11', 'ce_supp': -76.52, 'pe_supp': 325.89}
{'time': '15:12', 'ce_supp': -76.52, 'pe_supp': 325.89}
{'time': '15:13', 'ce_supp': -76.68, 'pe_supp': 328.76}
{'time': '15:14', 'ce_supp': -76.68, 'pe_supp': 328.76}
{'time': '15:15', 'ce_supp': -76.68, 'pe_supp': 328.76}
